Claim,True,Prediction,Confidence,Retrieved Title,Retrieved Text
Designated Survivor (TV series) is part of ABC.,SUPPORTS,NOT ENOUGH INFO,0.9963938593864441,Designated survivor (disambiguation),"Designated Survivor (TV series), a 2016 TV series based on the concept of a designated survivor"
Temple Mount is where Jews turn away from during prayer.,REFUTES,NOT ENOUGH INFO,0.9658302068710327,Temple Mount,The Temple Mount is a religious site in the Old City of Jerusalem. It is a holy place in Judaism and Islam.
Tylenol is advertised for worsening the symptoms of allergies.,REFUTES,SUPPORTS,0.9869393110275269,Asthma,"There have been studies that show a link between acetaminophen (Tylenol) and asthma. For instance a 2008 analysis of information collected from a very large study called the International Study of Asthma and Allergies in Childhood, or the ""Isaac study"" for short, showed that children who had taken acetaminophen for a fever during the first year of their life had a 50% higher risk of getting asthma later on. The more acetaminophen children took the higher their risk of getting asthma. Children who took it once a month had threefold increase in their risk of getting asthma. An increase in asthma rates in multiple countries corresponded with increased sales of drugs which contained acetaminophen. Previously the American College of Physicians"
The White House Press Secretary's primary responsibility is to be a father.,SUPPORTS,REFUTES,0.9058545231819153,White House Press Secretary,"The White House Press Secretary is a job at the White House. Press secretaries act as the primary spokesperson for the United States Government and the President, senior executives, and policies. Karine Jean-Pierre is the current White House Press Secretary."
Soyuz is a series of aircraft.,SUPPORTS,REFUTES,0.9992400407791138,Soyuz (spacecraft),"Soyuz (, ) is a series of spacecraft designed for the Soviet space programme. It was first used in the 1960s. The Soyuz spacecraft is launched on a Soyuz rocket, the most frequently used and most reliable launch vehicle in the world to date.[1][2] All Soyuz spacecraft are launched from the Baikonur Cosmodrome in Kazakhstan."
Manchester by the Sea is distributed globally.,REFUTES,NOT ENOUGH INFO,0.9955217838287354,"Manchester-by-the-Sea, Massachusetts","Manchester-by-the-Sea (also known simply as Manchester) is a town on Cape Ann, in Essex County, Massachusetts, United States. The town is known for its beaches. At the 2010 census, the population was 5,136."
Internet access requires the use of hardware.,NOT ENOUGH INFO,SUPPORTS,0.8712082505226135,Accessibility,Modified computer software and hardware that allows people with a disability or disabilities to access the Internet and use a personal computer
In the End was released through Interscope Records.,REFUTES,NOT ENOUGH INFO,0.4446937143802643,No Doubt,"On April 11, 2000 Return of Saturn was released on Interscope. Four singles were released from it."
Leslie Alexander owns an NBA team.,SUPPORTS,NOT ENOUGH INFO,0.8891919255256653,Paul Allen,"Allen was also the outright owner of two sports teams, and was part-owner of a third. He fully owned the Seattle Seahawks of the NFL and the Portland Trail Blazers of the NBA. He was a minority owner of Seattle Sounders FC in Major League Soccer."
Yale University's alumni includes 19 justices.,SUPPORTS,REFUTES,0.9644708633422852,Yale University,"Fifty-two Nobel Prize winners have been students or professors at Yale, and five U.S. presidents have graduated from Yale, including George H. W. Bush, Bill Clinton, and George W. Bush. Other famous alumni include politicians Hilary Clinton and John Kerry, actors Meryl Streep and Edward Norton, inventors Eli Whitney and Samuel Morse, CNN anchors Fareed Zakaria and Anderson Cooper, FedEx founder Fred Smith and Pepsi CEO Indra Nooyi, and computer scientist Grace Hopper."
Richard Kuklinski has a relatives.,SUPPORTS,NOT ENOUGH INFO,0.8082711100578308,Richard Kuklinski,"Richard Leonard Kuklinski (April 11, 1935 – March 5, 2006), also known as The Iceman, was an American criminal  who was convicted of murdering five people and given life imprisonment."
A parent of Jed Whedon was born in the month of August.,REFUTES,SUPPORTS,0.998847246170044,Zack Whedon,"Zack Whedon (born August 14, 1979) is an American television writer. He graduated from Wesleyan University in 2002 with a movie degree. Whedon has written for the HBO series Deadwood. He is the son of writer Tom Whedon and the brother of writer-producer-director Joss Whedon."
The Baja 1000 was organized by the National Off-Road Racing Association beginning in 1977.,REFUTES,NOT ENOUGH INFO,0.999567449092865,Hiro Matsushita,"In 2001, Matsushita competed in the Baja 1000 off-road race, in a Mitsubishi Montero."
Ed Decter produced the film Fargo.,REFUTES,NOT ENOUGH INFO,0.9963243007659912,Fargo,"Fargo (1952 movie), an American western movie directed by Lewis D. Collins"
Steve Wozniak built the Apple II.,SUPPORTS,NOT ENOUGH INFO,0.9252347946166992,Steve Wozniak,"was very successful. They went on to produce the Apple III. But the Apple I, II and III computers were text-based machines. Jobs wanted to invent something completely new. The two were working on a new computer they called the Apple Lisa. Jobs made a deal with Xerox who then owned PARC, the Palo Alto Research Center. In return for three days access to PARC, Xerox could buy 100,000 shares of Apple stock for $10 each. Wozniak and Jobs were amazed at what they saw at PARC. Xerox had built a computer called the Xerox Alto but had not marketed it. The Alto had a Graphical user interface instead of being simply text-based. It used a computer mouse to point"
Pulmonary embolism is indicated by breathing rate increases by a factor of two.,NOT ENOUGH INFO,REFUTES,0.9779284000396729,Pulmonary embolism,"Symptoms of a pulmonary embolism start suddenly, as soon as the clot starts blocking blood flow to the lungs.  Blood is supposed to pick up oxygen in the lungs and then carry that oxygen to the rest of the body.  If blood cannot get through to the lungs, it cannot pick up oxygen or deliver it to the body.  Every part of the body needs blood and oxygen to survive."
Keegan-Michael Key appeared at the White House Correspondents' Dinner.,SUPPORTS,NOT ENOUGH INFO,0.999025821685791,Keegan-Michael Key,"Keegan-Michael Key (born March 22, 1971) is an American actor and comedian. He was born in Southfield, Michigan. He and Jordan Peele have a comedy show on MADtv."
The French established administrative law in Uganda.,REFUTES,NOT ENOUGH INFO,0.9987516403198242,Uganda,"Uganda, located in East Africa, has a rich history. It was home to ancient kingdoms like Buganda, Bunyoro, and Ankole. Colonial rule began with the arrival of the British in the late 19th century. Independence was achieved in 1962 under the leadership of Milton Obote. The country faced political instability, with Idi Amin's regime notorious for human rights abuses in the 1970s. Yoweri Museveni took power in 1986, bringing relative stability. Uganda has since experienced economic growth, though challenges like conflicts in the north have persisted."
Glee.com was released by Community Connect Inc..,SUPPORTS,NOT ENOUGH INFO,0.9985670447349548,Glee (season 1),"The first season of the musical comedy-drama television show Glee originally premiered on May 19, 2009 and ended on June 8, 2010 on FOX in the United States. The first season had 22 episodes and was produced by 20th Century Fox Television and Ryan Murphy Television. The first season features the ""New Directions"" glee club at the fictional William McKinley High School in Lima, Ohio. It also shows the glee club in several competitions; local, regional and nationals which was held in New York City. The club members in this season began dealing with relationship, sexuality and social issues."
Barry Van Dyke is the second son of Dick Van Dyke.,SUPPORTS,NOT ENOUGH INFO,0.9743305444717407,Dick Van Dyke,"Richard Wayne ""Dick"" Van Dyke (born December 13, 1925) is an American actor, comedian, dancer, producer, singer and writer with his career that has lasted 60 years. He is the older brother of Jerry Van Dyke and father of Barry Van Dyke."
There are zero Polynesian languages.,NOT ENOUGH INFO,REFUTES,0.9996069073677063,Polynesian languages,"There are around 30-40 Polynesian languages, with Samoan having the most speakers. Other well-known Polynesian languages include Māori, Tongan, Hawaiian and Tahitian."
Prince Charles and Lady Diana were married in Puerto Rico.,REFUTES,NOT ENOUGH INFO,0.9771801829338074,July 29,"1981 – Prince Charles and Diana, Princess of Wales marry."
Milk is a 2008 American film starring Bob Ross.,NOT ENOUGH INFO,REFUTES,0.9989532232284546,Milk (movie),"Milk is an American biographical-drama movie. It was released in 2008. It is based on the life of gay politician Harvey Milk. It was directed by Gus Van Sant. It stars Sean Penn, Victor Garber, Emile Hirsch, James Franco, and Josh Brolin."
Mickey Rourke was visible in The Expendables.,SUPPORTS,NOT ENOUGH INFO,0.5458970665931702,Mickey Rourke,"Philip Andre ""Mickey"" Rourke, Jr. (born September 16, 1952) is an American actor. He is of Irish and French descent. He is a Roman Catholic. He was in the movie ""The Wrestler"". He also appeared at WrestleMania and had an encounter with Chris Jericho. He also played the voice of Jericho in the Driver 2 video game."
Henry II of France has three cars.,REFUTES,NOT ENOUGH INFO,0.9993975162506104,Henry II of France,"Henry II of France (March 31, 1519 – July 10, 1559) was a King of France and a member of the House of Valois. Henry was crowned King in Rheims, France, on July 25, 1547."
Maria Theresa's father died in 1744.,REFUTES,NOT ENOUGH INFO,0.9869100451469421,Archduchess Maria Elisabeth of Austria (born 1737),"Maria Elisabeth of Austria (February 5, 1737 - June 7, 1740) was the eldest child of Maria Theresa, and Francis of Lorraine, Maria died in 1140, aged 3, before her mother became Queen of Bohemia and Hungary, she also died before her father became Grand-Duke of Tuscany and Holy Roman Emperor."
The New York City Landmarks Preservation Commission includes zero historians.,REFUTES,NOT ENOUGH INFO,0.9990098476409912,Federal Hall,"In 1812, the building was demolished.  A new customs house replaced it in 1842.  In 1882, a bronze statue of President Washington was made and put in front of the steps.  The new building officially became a landmark according to the New York City Landmarks Preservation Commission on 21 December 1965."
Aunt May is the wife of Uncle Ben.,NOT ENOUGH INFO,REFUTES,0.998705267906189,Aunt May,"May Reilly Parker-Jameson (Aunt May) is a fictional in the Marvel Comics universe and a Spider-Man character. She raises Peter Parker. She was married to Ben Parker until he was shot and killed. Aunt May does not know that Peter Parker is Spider-Man. She thinks that Spider-Man is scary. Aunt May later married John Jonah Jameson, Sr. (the father of J. Jonah Jameson)."
Reign Over Me was withheld in 2007.,NOT ENOUGH INFO,REFUTES,0.9994977712631226,Reign Over Me,"Reign Over Me is a 2007 American buddy comedy-drama movie. It was directed by Mike Binder and it was produced by Jack Binder and Michael Rotenberg. Reign Over Me was released on March 22, 2007 in Australia and on March 23, 2007 in the United States."
The New Jersey Turnpike has 13 rest areas.,SUPPORTS,NOT ENOUGH INFO,0.9993583559989929,New Jersey Turnpike,The New Jersey Turnpike is a toll road in New Jersey. The road runs from near the Delaware Memorial Bridge in the southern part of the state northeast to near the George Washington Bridge in the northern part of the state near New York City. The northern part of the road is a part of Interstate 95. The New Jersey Turnpike is one of the busiest toll roads in the United States.
Cleopatre premiered in an author's lifetime.,SUPPORTS,REFUTES,0.981684148311615,Cleo TV,"Cleo TV (stylized as CLEOTV) is an American cable television network. The network serves young millennial and Generation X African American women, and serves as a complement to TV One. It was launched on January 19, 2019."
Lemmy was known for his distinctive playing style and appearance.,SUPPORTS,NOT ENOUGH INFO,0.9993875026702881,Lemmy,"Ian Fraser ""Lemmy"" Kilmister (24 December 1945 – 28 December 2015), commonly known by Lemmy, was a British musician, singer-songwriter and actor. He was best known as the bassist of the heavy metal band Motörhead."
The Times switched to a compact format from broadsheet in 2004.,SUPPORTS,NOT ENOUGH INFO,0.8006057739257812,The Scotsman,"The Scotsman is a daily newspaper from Scotland, United Kingdom. It has recently been changed to a compact form, but the Sunday version remains a broadsheet"
Castlevania is a sandbox-rpg.,NOT ENOUGH INFO,REFUTES,0.9990656971931458,Castlevania: Portrait of Ruin,"Castlevania: Portrait of Ruin, known in Japan as , is an Action RPG video game made by Konami for the Nintendo DS handheld video game console. It's the second game release for the system, and has a sequel that's going to be released called Castlevania: Order of Ecclesia."
NXT Tag Team Championship was created by Britney Spears.,NOT ENOUGH INFO,REFUTES,0.9970355033874512,NXT UK Tag Team Championship,"The NXT UK Tag Team Championship is a wrestling title owned by WWE and competed for by tag teams of NXT UK. It was created on June 18, 2018, during the first night of the 2018 United Kingdom Championship Tournament. There was an announcement during the tournament that another 4-team tournament would happen and it would decide the first NXT UK Tag Team Champions. The semi-finals of this tournament happened in November 2018 and the final happened in January 2019. There, Grizzled Young Veterans (James Drake and Zack Gibson) beat Moustache Mountain (Tyler Bate and Trent Seven) to become the first and current champions."
$16 million was the film budget of Varsity Blues (film).,SUPPORTS,NOT ENOUGH INFO,0.9990946054458618,Varsity Blues,The movie opened at #1 at the United States' box office. It made $17.5 million in its opening week.
Donna Noble is the therapist of the Doctor.,REFUTES,NOT ENOUGH INFO,0.6079012751579285,Donna Noble (Doctor Who),"Donna  Noble is a character in the British television series Doctor Who. She is played by Catherine Tate. She is a secretary from Chiswick, London. She is a companion of the Tenth Doctor. She appears in one scene at the end of the last episode of the 2006 series, ""Doomsday"" (named in the credits only as ""The Bride""), and in the second Christmas special, ""The Runaway Bride"". The character returned as The Doctor's  full-time companion for the whole of the fourth series in 2008."
Carlos Santana was in the American Latin rock band Santana.,NOT ENOUGH INFO,SUPPORTS,0.9193309545516968,Carlos Santana,"Carlos Santana (born July 20, 1947) is a Mexican-American musician. He first became famous in the late 1960s and early 1970s with his band, Santana. They played a fusion of rock and Latin American music."
Jack Falahee's middle name is Bryan.,REFUTES,NOT ENOUGH INFO,0.9987671375274658,Brian,"Brian [brahy-uhn](sometimes spelled as Bryan) is a common name in the English language. This name was ranked #288 on the US Popular Names in 2021. The name came from Irish and Breton origins. The name is also a surname of Occitan origins.The exact meaning of Brian is not known. However, it is possible the  name is from Old Celtic, meaning ""high"" or ""noble""."
The Raven (2012 film) was released the United States in 2012.,SUPPORTS,REFUTES,0.9990817308425903,The Raven (1935 movie),"The Raven is a 1935 American psychological horror directed by Lew Landers and was based on the 1845 poem by Edgar Allan Poe. It stars Boris Karloff, Bela Lugosi, Lester Matthews, Irene Wane, Inez Courtney, Ian Wolfe, Spencer Charters and was distributed by Universal Pictures."
"Murda Beatz is from San Diego, California.",REFUTES,NOT ENOUGH INFO,0.9101653099060059,"List of people from San Diego, California","Aukai Collins, Chechen mujahideen, spent his childhood in Ocean Beach, and part of his early adulthood in City Heights"
Rick Yune was on an HBO show.,NOT ENOUGH INFO,REFUTES,0.9959329962730408,Johnny Yune,"Yune became well known in the United States for his comedy performance on The Tonight Show Starring Johnny Carson. Yune stated that because actor Charlton Heston did not arrive on time, he was given over twenty minutes on the show to make a good impression. Carson liked Yune and had him on the show over 30 times."
The Giver is only a book.,REFUTES,SUPPORTS,0.9981105327606201,The Giver,The Giver is a novel by Lois Lowry. It is science fiction. Bantam Books published the book in 1993. It won the Newbery Medal for excellence in American literature for children in 1994. The Giver has sold more than 5 million copies.
Appropriation (art) played a significant role in musical arts.,SUPPORTS,NOT ENOUGH INFO,0.5882171988487244,Cultural appropriation,There are many examples in culture and every day life. People can dress up like other cultures during Halloween without having respect for the culture. There is often appropriation in pop culture. Singers or celebrities may use cultural dances or clothing and make a lot of money from it.
"Musala is 2,925 dollars.",REFUTES,NOT ENOUGH INFO,0.733875572681427,Mansa Musa,"Historians say he was the richest person to have ever lived. Today, his wealth would be worth about US $900 billion."
Gray Matters stars Tom Cruise.,REFUTES,NOT ENOUGH INFO,0.9988982677459717,Tom Cruise,"Thomas Cruise Mapother IV (; born July 3, 1962) is an American actor and producer. He has starred in many movies, including War of the Worlds and Jerry Maguire. He is one of the highest paid actors in Hollywood."
Arizona is in the southern United States.,SUPPORTS,REFUTES,0.978259801864624,Arizona,"Arizona is a state in the United States of America. It is considered part of the Southwestern United States and is bordered by New Mexico to the east, Utah to the north, Nevada to the northwest, California to the west, its northeast corner touches part of Colorado, this area is known as the Four Corners. To the south of Arizona is the country Mexico with which it shares a border of 389 miles (626 km). The state is called the ""Grand Canyon State"" and the ""Copper State"" as it is the home of the Grand Canyon and has produced large amounts of copper from its mineral deposits."
One Dance was Drake's first number one single in 34 countries.,REFUTES,NOT ENOUGH INFO,0.9993763566017151,Drake (musician),"In 2016, he released Views, an album that was only on iTunes at first. His single ""One Dance"" became his first number-one single on the US Billboard Hot 100 as a main artist."
Psych (season 2) originally aired on the TNT Network.,REFUTES,NOT ENOUGH INFO,0.9994410872459412,Psych-Out,"Psych-Out is a 1968 American drama movie directed by Richard Rush and stars Jack Nicholson, Susan Strasberg, Dean Stockwell, Bruce Dern, Max Julien, Strawberry Alarm Clock. It was distributed by American International Pictures."
Boxing Helena debuted in Russia.,REFUTES,NOT ENOUGH INFO,0.9958435893058777,Boxing Helena,Boxing Helena is a 1993 American romantic drama movie. It is about a lonely surgeon from Atlanta who gets obsessed with an accident victim named Helena. Sherilyn Fenn plays Helena. This movie was originally marked NC-17 (no children 17 and under admitted). It was later re-rated R on appeal. The movie performed very badly at the box office. The reviews were very negative. This movie was released in September 1993.
Birmingham is a sports team.,REFUTES,SUPPORTS,0.985111653804779,Birmingham City F.C.,"Birmingham City Football Club, is an English football club."
The Beach was adapted for film by John Hodge.,SUPPORTS,REFUTES,0.9994858503341675,The Beach (movie),"The Beach is a 2000 American British adventure drama movie directed by Danny Boyle and was based on the 1996 novel of the same name by Alex Garland. It stars Leonardo DiCaprio, Tilda Swinton, Virginie Ledoyen, Robert Carlyle, Paterson Joseph, Peter Youngblood Hills, Zelda Tinska and was distributed by 20th Century Fox."
"Otto I, Holy Roman Emperor started the Hungarian invasions.",NOT ENOUGH INFO,REFUTES,0.9774491190910339,August 10,"AD 955  Battle of Lechfeld: Otto I, Holy Roman Emperor defeats Magyars, ending 50 years of Magyar invasion of the West."
Victor Frankenstein is based on contemporary adaptations of a novel.,SUPPORTS,REFUTES,0.9994325041770935,Victor Frankenstein,"Victor Frankenstein is a fictional character in the book Frankenstein by Mary Shelley. He creates a monster by putting together dead parts into a body and then bringing the body to life, but is scared by how ugly the monster is and abandons it. The Monster comes back and asks for a wife. Victor creates a female monster but then destroys her instead of bringing her to life. The Monster gets revenge by killing everyone Victor Frankenstein ever cared about. Victor wants revenge on the Monster but dies of pneumonia before he can get it."
Nobody took Hebe's job after her.,REFUTES,NOT ENOUGH INFO,0.7192873954772949,Sayaka Osakabe,"Sayaka Osakabe was born in Japan in 1978. She had a job as a magazine editor. She became pregnant, so she asked her boss for shorter work hours.  Osakabe's boss wanted her to quit her job. Osakabe was pregnant twice and she lost the baby twice.  Then Osakabe asked for a leave of absence so she could leave her job to become pregnant, then return to the job.  Her boss refused.  Osakabe quit her job, but she took her case to a labor tribunal.  In June, 2014, Osakabe won her case."
Dakota Fanning is deceased.,NOT ENOUGH INFO,REFUTES,0.9985248446464539,Dakota Fanning,"Hannah Dakota Fanning (born February 23, 1994) is an American actress and model. She is best known for her starring roles in the movies Dreamer, Hounddog, and Fragments (also known as Winged Creatures)."
The soundtrack of Far from the Madding Crowd was only by George Clooney.,REFUTES,NOT ENOUGH INFO,0.5971211194992065,BAFTA Award for Best Cinematography,Far from the Madding Crowd – Nicolas Roeg
Physics' main goal is to understand the behavior of the universe through the study of matter and its movement.,NOT ENOUGH INFO,SUPPORTS,0.9995549321174622,Physics,"Physics is a branch of science. It is one of the most fundamental scientific disciplines. The main goal of physics is to explain how things move in space and time and understand how the universe behaves. It studies matter, forces and their effects."
Anthony Scaramucci was born on Mars.,NOT ENOUGH INFO,REFUTES,0.9978979825973511,Anthony Scaramucci,"Anthony Scaramucci (born January 6, 1964) is an American entrepreneur, financier, political figure, and author. On July 21, 2017, President Donald Trump appointed him the White House Communications Director, but before he could take office, he was removed from the position by President Donald Trump on July 31, 2017, at the request of the White House Chief of Staff, John Kelly."
Team Fortress 2 development was led by Robin Walker.,SUPPORTS,REFUTES,0.9916404485702515,Team Fortress 2,"The original Team Fortress was developed by Robin Walker and John Cook. This early version of Team Fortress was a free mod for the 1996 PC game Quake. In 1998, Walker and Cook were employed by Valve. At the time, Valve just released its first game, Half-Life. Valve began developing Team Fortress 2 as a separate retail game using one of Valve's own game engines, GoldSrc. In 1999, Valve released Team Fortress Classic, a port of the original Team Fortress, as a free Half-Life mod. Team Fortress Classic was developed using the publicly available Half-Life software development kit as an example to the community and industry of the flexibility of the Half-Life game."
Mel B had a solo career in dancing.,NOT ENOUGH INFO,SUPPORTS,0.9987789988517761,Dancing with the Stars (video game),"A sequel, Dancing with the Stars: We Dance! (or Dancing with the Stars: Get Your Dance On!), was released October 21, 2008 for Wii and Nintendo DS. It was made by Activision. The game features celebrities including Mel B, Apolo Anton Ohno, Joey Fatone and Jennie Garth and new professional dancers including Derek Hough and his sister Julianne Hough."
Ted Cruz's has a middle name.,SUPPORTS,REFUTES,0.6371819972991943,Ted Cruz,"Cruz's parents are a Cuban father, Rafael Cruz, and an American mother, Eleanor Darragh. He was born in Calgary, Alberta, Canada. His parents, who worked in the oil business at the time, were in Calgary on business. He started using the name Ted when he was thirteen years old. Cruz graduated from Second Baptist High School as a valedictorian. He then went to Princeton University and Harvard Law School."
Kleshas are part of Buddhism.,SUPPORTS,NOT ENOUGH INFO,0.9982079267501831,Dakini,"Dakinis are associated with energy. They are linked with the revelation of the path of transformation. They help people to change the energy of negative emotions, called poisons (kleshas), into enlightened awareness."
Simon Cowell is a reality television judge from Canada.,NOT ENOUGH INFO,REFUTES,0.9991525411605835,Simon Cowell,"Simon Phillip Cowell (born 7 October 1959) is a British businessman, entrepreneur, record executive and television personality. Cowell is the A&R executive for Syco in the United Kingdom and the son of estate agent and music industry executive Eric Cowell Sr. and socialite Julie Brett. He was born in Lambeth, London and raised in Elstree, Hertfordshire. He is well known as a judge on television programmes Pop Idol, The X Factor, American Idol and Britain's Got Talent. On these shows, Cowell is known for saying that most of the contestants on the shows are not talented. He is known for joining activities in the television and music industries, having made singles and records for many television characters."
Gamal Abdel Nasser's funeral drew five million mourners.,SUPPORTS,NOT ENOUGH INFO,0.9991487264633179,September 28,"1970 – Gamal Abdel Nasser dies, and is succeeded by Anwar Sadat as President of Egypt."
Brian De Palma is a Westerner.,SUPPORTS,NOT ENOUGH INFO,0.5220567584037781,Brian De Palma,"Brian Russell De Palma (born September 11, 1940) is an American movie director, producer and screenwriter. He was born in Newark, New Jersey to Italian American Roman Catholic parents Anthony De Palma (1904-2005) and Vivienne (née Muti). He was raised in Philadelphia, Pennsylvania and in New Hampshire."
There were 953 Mormon members in 1971.,SUPPORTS,NOT ENOUGH INFO,0.9992327690124512,Thomas L. Kane,"K. Polk. After they negotiated (shared and talked about ideas), the United States agreed to send 500 LDS men, in five groups of 75 to 100 men each, called the Mormon Battalion, to help in the Mexican-American War."
The ruins of the ancient Roman town of Herculaneum lie two hundred miles from Naples.,SUPPORTS,REFUTES,0.9465619325637817,Gulf of Naples,"The islands of Capri, Ischia and Procida are in the Gulf of Naples. The area is a tourist destination, with the seaside Roman ruins of Pompeii and Herculaneum at the foot of Mount Vesuvius. These towns were covered with volcanic ash in the AD 79 eruption of Vesuvius."
Qin dynasty introduced several legislation.,SUPPORTS,NOT ENOUGH INFO,0.987808346748352,History of China,"Qin Dynasty was a very important dynasty in the history of China. They followed the philosophy of Legalism. Their capital was at Xianyang. Under the king of this dynasty, China became a powerful country. Many new things were done for the first time. A tight legal system was followed. Written language was developed. Common currency was used. The building of the Great Wall of China was started."
Richard Dawson was a firefighter in France.,NOT ENOUGH INFO,REFUTES,0.6994478106498718,Richard Dawson,Richard Dawson (20 November 1932 – 2 June 2012) was an English-American actor and television presenter.
The Indian National Congress was founded in China.,REFUTES,NOT ENOUGH INFO,0.8095519542694092,December 28,1885 - The Indian National Congress is founded.
Hinduism has a cosmological view that the universe is in a cycle of creation and destruction.,NOT ENOUGH INFO,SUPPORTS,0.9996127486228943,Shiva,"The Trimurti is a concept in Hinduism in which the cosmic functions of creation, maintenance, and destruction are personified by the forms of Brahma the creator, Vishnu the maintainer or preserver and Shiva the destroyer or transformer. These three deities have been called ""the Hindu triad"" or the ""Great Trinity"". However, the ancient and medieval texts of Hinduism feature many triads of gods and goddesses, some of which do not include Shiva."
The Guthrie Theater's first play was designed by Ralph Rapson.,NOT ENOUGH INFO,REFUTES,0.8636350631713867,American Shakespeare Theatre,"The American Shakespeare Festival Theatre was opened in 1955. Their first play was Julius Caesar. The theater building burned to the ground on January 13, 2019."
Shut Up debuted on the charts.,NOT ENOUGH INFO,SUPPORTS,0.9991231560707092,Shut Up and Let Me Go,"""Shut Up and Let Me Go"" (aka: ""Shut Up & Let Me Go"") is the third single off the studio album We Started Nothing by The Ting Tings. The song was released in the United Kingdom on July 21st of 2008, and was the follow-up to the number one hit single ""That's Not My Name"". The song was added to the coveted A-list of BBC Radio 1's playlist, and has received a substantial amount of airplay during the day on the station. The single peaked at number six in both the UK Singles Chart and the UK Download Chart."
"Beaverton, Oregon's city center is seven miles west of downtown Portland in the Tualatin River Valley.",SUPPORTS,NOT ENOUGH INFO,0.999539852142334,"Beaverton, Oregon","Beaverton is a city in Washington County, Oregon, U.S.A. It is seven miles west of Portland, Oregon. The name of Beaverton came from the native settlers, meaning ""place of the beaver""."
